"","Substrate","Taxa","Relative_Abundance"
"1","PVC","Acidimicrobiia",0.0170668209430142
"2","Foam","Acidimicrobiia",0.00356764053611031
"3","Tile","Acidimicrobiia",0.00192845434384341
"4","PVC","Actinobacteria_unclassified",0
"5","Foam","Actinobacteria_unclassified",0
"6","Tile","Actinobacteria_unclassified",0
"7","PVC","Alphaproteobacteria",0.00723939527638462
"8","Foam","Alphaproteobacteria",0.00242813879709584
"9","Tile","Alphaproteobacteria",0.00130561233218379
"10","PVC","Anaerolineae",0
"11","Foam","Anaerolineae",0
"12","Tile","Anaerolineae",0
"13","PVC","Bacilli",0
"14","Foam","Bacilli",0
"15","Tile","Bacilli",0
"16","PVC","Bacteria_unclassified",0.0763418317047908
"17","Foam","Bacteria_unclassified",0.0467348033893652
"18","Tile","Bacteria_unclassified",0.0202413487576903
"19","PVC","Bacteroidetes_unclassified",0
"20","Foam","Bacteroidetes_unclassified",0
"21","Tile","Bacteroidetes_unclassified",0
"22","PVC","Bacteroidia",0.00884793974626156
"23","Foam","Bacteroidia",0.00617893312858762
"24","Tile","Bacteroidia",0.0100179152498995
"25","PVC","Chlamydiae",0
"26","Foam","Chlamydiae",0
"27","Tile","Chlamydiae",0
"28","PVC","Chloroflexi_unclassified",0
"29","Foam","Chloroflexi_unclassified",0
"30","Tile","Chloroflexi_unclassified",0
"31","PVC","Cyanobacteria_unclassified",0.0138888888888889
"32","Foam","Cyanobacteria_unclassified",0.0206228956228956
"33","Tile","Cyanobacteria_unclassified",0.029040404040404
"34","PVC","Deltaproteobacteria",0.00423472474289171
"35","Foam","Deltaproteobacteria",0.00181488203266788
"36","Tile","Deltaproteobacteria",0.000604960677555959
"37","PVC","Fibrobacteria",0
"38","Foam","Fibrobacteria",0
"39","Tile","Fibrobacteria",0
"40","PVC","Firmicutes_unclassified",0
"41","Foam","Firmicutes_unclassified",0
"42","Tile","Firmicutes_unclassified",0
"43","PVC","Fusobacteriia",0
"44","Foam","Fusobacteriia",0
"45","Tile","Fusobacteriia",0
"46","PVC","Gammaproteobacteria",0.0309183250414594
"47","Foam","Gammaproteobacteria",0.0248341625207297
"48","Tile","Gammaproteobacteria",0.0186826285240464
"49","PVC","Gracilibacteria",0.00133466800133467
"50","Foam","Gracilibacteria",0.000333667000333667
"51","Tile","Gracilibacteria",0.000333667000333667
"52","PVC","Kiritimatiellae",0.000775193798449612
"53","Foam","Kiritimatiellae",0.00155038759689922
"54","Tile","Kiritimatiellae",0.000775193798449612
"55","PVC","Lentisphaerae_unclassified",0
"56","Foam","Lentisphaerae_unclassified",0.0238095238095238
"57","Tile","Lentisphaerae_unclassified",0
"58","PVC","Lentisphaeria",0
"59","Foam","Lentisphaeria",0
"60","Tile","Lentisphaeria",0
"61","PVC","Negativicutes",0
"62","Foam","Negativicutes",0
"63","Tile","Negativicutes",0
"64","PVC","Oligosphaeria",0
"65","Foam","Oligosphaeria",0
"66","Tile","Oligosphaeria",0
"67","PVC","Oxyphotobacteria",0.0157506097739326
"68","Foam","Oxyphotobacteria",0.0187101168342429
"69","Tile","Oxyphotobacteria",0.0208810297914594
"70","PVC","Patescibacteria_unclassified",0
"71","Foam","Patescibacteria_unclassified",0
"72","Tile","Patescibacteria_unclassified",0
"73","PVC","Phycisphaerae",0
"74","Foam","Phycisphaerae",0
"75","Tile","Phycisphaerae",0
"76","PVC","Planctomycetacia",0.00164697457930541
"77","Foam","Planctomycetacia",0.000572860723236663
"78","Tile","Planctomycetacia",0.000358037952022914
"79","PVC","Planctomycetes_unclassified",0
"80","Foam","Planctomycetes_unclassified",0
"81","Tile","Planctomycetes_unclassified",0
"82","PVC","Proteobacteria_unclassified",0.00191131498470948
"83","Foam","Proteobacteria_unclassified",0.00114678899082569
"84","Tile","Proteobacteria_unclassified",0.00095565749235474
"85","PVC","Verrucomicrobia_unclassified",0
"86","Foam","Verrucomicrobia_unclassified",0
"87","Tile","Verrucomicrobia_unclassified",0
"88","PVC","Verrucomicrobiae",0.000250784430369411
"89","Foam","Verrucomicrobiae",5.83219605510259e-05
"90","Tile","Verrucomicrobiae",2.91609802755129e-05
