SITE,SUBSTRATE,MEAN_CHL,CHL_SE,LOCATION
HC,Polystyrene,0.2448875,0.017875,LOCAL
HC,PVC,0.719170833,0.228225168,LOCAL
HC,Tile,0.85692419,0.372211889,LOCAL
NB,Polystyrene,0.757304167,0.211583764,LOCAL
NB,PVC,0.6023875,0.081913541,LOCAL
NB,Tile,0.77416956,0.050845296,LOCAL
SC,Polystyrene,0.483220833,0.097542121,LOCAL
SC,PVC,1.0313875,0.143,LOCAL
SC,Tile,0.66245081,0.018035953,LOCAL
AZ,Polystyrene,0.131679167,0.036243127,NATIONAL
AZ,PVC,0.165045833,0.043605882,NATIONAL
AZ,Tile,0.153509838,0.095437295,NATIONAL
MD,Polystyrene,0.667929167,0.041708333,NATIONAL
MD,PVC,0.5130125,0.206144556,NATIONAL
MD,Tile,0.492803819,0.218674313,NATIONAL
WA,Polystyrene,0.679845833,0.113208333,NATIONAL
WA,PVC,1.257804167,0.382030937,NATIONAL
WA,Tile,0.401773727,0.033101852,NATIONAL
